"","X.2","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum","Height_diff","Width_diff","Length_diff","Weight_diff","Weight_delta","Height_delta","Width_delta","Length_delta","Volume_pre","Volume_post","Volume_delta","Volume_scale"
"13","2018_HIGH_POLY_HP1W26_CV","2018_HIGH_POLY_HP1W26_CV","Lab18",2018,"HIGH","POLY","HP1","W26",0,NA,"CV","HP1","W26","OLD",44.38,22.62,13.51,5.12,62.61,28.95,12.78,11.4,0,0,0,0,"CV","HIGH_POLY","HP1W26",-0.73,6.33,18.23,6.28,1.2265625,-0.0540340488527017,0.279840848806366,0.410770617395223,13562.359356,23164.51041,0.708000046448555,0.258212520276186
"14","2018_HIGH_POLY_HP1W5_CV","2018_HIGH_POLY_HP1W5_CV","Lab18",2018,"HIGH","POLY","HP1","W5",0,NA,"CV","HP1","W5","OLD",48,24.68,11.78,6.54,49.48,30.2,12.1,13.82,0,0,0,0,"CV","HIGH_POLY","HP1W5",0.32,5.52,1.48,7.28,1.1131498470948,0.0271646859083192,0.223662884927066,0.0308333333333333,13955.0592,18080.9816,0.295657821358436,-0.282064103361585
"15","2018_HIGH_POLY_HP1W62_CV","2018_HIGH_POLY_HP1W62_CV","Lab18",2018,"HIGH","POLY","HP1","W62",0.5,NA,"CV","HP1","W62","OLD",32.81,24.65,11.01,3.55,35.94,29.79,11.4,7.58,0,0,5,0.5,"CV","HIGH_POLY","HP1W62",0.390000000000001,5.14,3.13,4.03,1.13521126760563,0.0354223433242507,0.208519269776876,0.0953977445900639,8904.519165,12205.43964,0.37070170930448,-0.183736898585798
"16","2018_HIGH_POLY_HP1W63_CV","2018_HIGH_POLY_HP1W63_CV","Lab18",2018,"HIGH","POLY","HP1","W63",0,NA,"CV","HP1","W63","OLD",33.22,28.09,11.77,4.46,34.52,28.75,10.79,8.14,0,0,0,0,"CV","HIGH_POLY","HP1W63",-0.98,0.66,1.3,3.68,0.825112107623319,-0.0832625318606627,0.0234959060163759,0.0391330523780856,10983.173146,10708.5355,-0.0250053096995945,-0.702217032728168
"17","2018_HIGH_POLY_HP1Y33_IR","2018_HIGH_POLY_HP1Y33_IR","Lab18",2018,"HIGH","POLY","HP1","Y33",0,NA,"IR","HP1","Y33",NA,38.27,21.24,14.54,5.08,41.2,22,15.28,7.49,NA,NA,NA,0,"IR","HIGH_POLY","HP1Y33",0.74,0.760000000000002,2.93,2.41,0.474409448818898,0.0508940852819808,0.0357815442561206,0.0765612751502482,11818.908792,13849.792,0.171833393737218,-0.444306628158675
"18","2018_HIGH_POLY_HP1Y55_IR","2018_HIGH_POLY_HP1Y55_IR","Lab18",2018,"HIGH","POLY","HP1","Y55",0,NA,"IR","HP1","Y55",NA,38.21,23.34,14.33,5.17,40.42,21.62,15.48,7.08,NA,NA,NA,0,"IR","HIGH_POLY","HP1Y55",1.15,-1.72,2.21,1.91,0.369439071566731,0.0802512212142359,-0.0736932305055698,0.057838262235017,12779.800662,13527.668592,0.0585195301381924,-0.592777553306475
"19","2018_HIGH_POLY_HP1Y64_IR","2018_HIGH_POLY_HP1Y64_IR","Lab18",2018,"HIGH","POLY","HP1","Y64",0,NA,"IR","HP1","Y64",NA,28.25,16.74,12.36,2.62,35.08,17.95,14.57,5.11,NA,NA,NA,0,"IR","HIGH_POLY","HP1Y64",2.21,1.21,6.83,2.49,0.950381679389313,0.178802588996764,0.0722819593787336,0.241769911504425,5845.1058,9174.52502,0.569608033442269,0.0768826321980744
"20","2018_HIGH_POLY_HP1Y75_IR","2018_HIGH_POLY_HP1Y75_IR","Lab18",2018,"HIGH","POLY","HP1","Y75",0,NA,"IR","HP1","Y75",NA,29.81,17.91,11.34,2.84,32.74,18.33,12.8,4.24,NA,NA,NA,0,"IR","HIGH_POLY","HP1Y75",1.46,0.419999999999998,2.93,1.4,0.492957746478873,0.128747795414462,0.0234505862646565,0.098289164709829,6054.393114,7681.58976,0.268762965232191,-0.317303429282998
"21","2018_HIGH_POLY_HP1Y84_IR","2018_HIGH_POLY_HP1Y84_IR","Lab18",2018,"HIGH","POLY","HP1","Y84",0,NA,"IR","HP1","Y84",NA,32.8,22.76,12.05,3.66,34.68,18.78,13.43,5.21,0,0,0,0,"IR","HIGH_POLY","HP1Y84",1.38,-3.98,1.88,1.55,0.423497267759563,0.114522821576763,-0.174868189806678,0.0573170731707318,8995.6624,8746.830072,-0.0276613679944237,-0.705697166753738
"22","2018_HIGH_POLY_HP3B59_CV","2018_HIGH_POLY_HP3B59_CV","Lab18",2018,"HIGH","POLY","HP3","B59",0,NA,"CV","HP3","B59","OLD",49.28,29.56,13.56,8.67,49.72,30.14,14.88,15.92,0,0,0,0,"CV","HIGH_POLY","HP3B59",1.32,0.580000000000002,0.439999999999998,7.25,0.836216839677047,0.0973451327433628,0.0196211096075779,0.00892857142857138,19753.079808,22298.584704,0.128866228494104,-0.500604900691308
"23","2018_HIGH_POLY_HP3B65_CV","2018_HIGH_POLY_HP3B65_CV","Lab18",2018,"HIGH","POLY","HP3","B65",0,NA,"CV","HP3","B65","OLD",38.66,36.16,12.73,8.28,42.8,36.34,14.49,14.68,0,0,0,0,"CV","HIGH_POLY","HP3B65",1.76,0.180000000000007,4.14,6.4,0.772946859903382,0.138256087981147,0.00497787610619488,0.107087428867046,17795.847488,22537.05048,0.266421871461703,-0.320370877050837
