"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"22","2017_NW_LOW_MONO_B3_CV","Field17",2017,"NW","LOW","MONO","B",3,"CV",0,0,"5/29/2017","NW","LL","B","3","CV","22.4","17.2","6.85","1.17","49.29",54.14,"19.28",24.1,"9/29-10/5","0",NA,0,"LOW_MONO","B3"
"23","2017_NW_LOW_MONO_P11_CV","Field17",2017,"NW","LOW","MONO","P",11,"CV",0.5,0,"5/29/2017","NW","LL","P","11","CV","24","16.35","7.4","1.37","72.09",41.39,"18.68",26.99,"9/27-10/4","0.5",NA,0,"LOW_MONO","P11"
"24","2017_NW_LOW_MONO_P17_CV","Field17",2017,"NW","LOW","MONO","P",17,"CV",2,0,"5/29/2017","NW","LL","P","17","CV","18.9","18.75","5.8","0.96","69.85",46.25,"21.18",33.31,"9/27-10/4","2",NA,0,"LOW_MONO","P17"
"25","2017_NW_LOW_MONO_P5_CV","Field17",2017,"NW","LOW","MONO","P",5,"CV",4,0,"5/29/2017","NW","LL","P","5","CV","20.2","17.5","6.1","0.91","45.43",36.73,"16.7",16.24,"9/27-10/4","4",NA,0,"LOW_MONO","P5"
"26","2017_NW_LOW_MONO_P7_CV","Field17",2017,"NW","LOW","MONO","P",7,"CV",0.5,0,"5/29/2017","NW","LL","P","7","CV","25.2","16","6.5","1.19","57.2",38.38,"18.8",25.65,"9/27-10/4","0.5",NA,0,"LOW_MONO","P7"
"27","2017_NW_LOW_MONO_R1_CV","Field17",2017,"NW","LOW","MONO","R",1,"CV",1,0,"5/29/2017","NW","LL","R","1","CV","20","18.7","6.5","1.09","49.02",38.98,"18.46",2.28,"9/25-10/2","1",NA,0,"LOW_MONO","R1"
"28","2017_NW_LOW_MONO_R11_CV","Field17",2017,"NW","LOW","MONO","R",11,"CV",3,0,"5/29/2017","NW","LL","R","11","CV","20.5","17.75","6.9","1.04","49.57",38.26,"20.18",19.59,"9/25-10/2","3",NA,0,"LOW_MONO","R11"
"29","2017_NW_LOW_MONO_R14_CV","Field17",2017,"NW","LOW","MONO","R",14,"CV",2,0,"5/29/2017","NW","LL","R","14","CV","23.5","18.5","6.45","1.05","57.22",33.05,"15.37",16.68,"9/25-10/2","2",NA,0,"LOW_MONO","R14"
"30","2017_NW_LOW_MONO_R16_CV","Field17",2017,"NW","LOW","MONO","R",16,"CV",4,0,"5/29/2017","NW","LL","R","16","CV","22.6","18.35","10.2","1.88","55.95",37.96,"22.5",23.82,"9/25-10/2","4",NA,0,"LOW_MONO","R16"
"31","2017_NW_LOW_MONO_R4_CV","Field17",2017,"NW","LOW","MONO","R",4,"CV",1,0,"5/29/2017","NW","LL","R","4","CV","20.4","17.75","5.5","0.96","53.75",32.87,"15.14",14.29,"9/25-10/2","1",NA,0,"LOW_MONO","R4"
"32","2017_NW_LOW_MONO_Y10_CV","Field17",2017,"NW","LOW","MONO","Y",10,"CV",0,0,"5/29/2017","NW","LL","Y","10","CV","20.9","18.25","6.75","1.11","67.74",44.5,"24.56",41.63,"9/25-10/2","0",NA,0,"LOW_MONO","Y10"
"33","2017_NW_LOW_MONO_Y18_CV","Field17",2017,"NW","LOW","MONO","Y",18,"CV",3,0,"5/29/2017","NW","LL","Y","18","CV","22.55","16.3","7","0.93","78.22",45.82,"17.26",26.79,"9/25-10/2","3",NA,0,"LOW_MONO","Y18"
